ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems
1975,True,1,32
1975,True,1,32
1490,True,1,42
1490,True,1,42
1726,True,1,11
1726,True,1,11
178,True,1,20
2614,True,1,36
178,True,1,20
51,True,1,18
2614,True,1,36
2323,True,1,7
192,True,1,32
2624,True,1,33
2614,True,1,36
2669,True,1,48
51,True,1,18
2669,True,1,48
2323,True,1,7
69,True,2,22
192,True,1,32
144,True,2,6
2624,True,1,33
358,True,2,8
2669,True,1,48
991,True,2,39
2410,True,2,25
69,True,2,22
4473,True,2,16
4523,True,2,15
5645,True,2,10
144,True,2,6
127,True,2,14
358,True,2,8
127,True,2,14
991,True,2,39
127,True,2,14
2410,True,2,25
4473,True,2,16
4523,True,2,15
5645,True,2,10
127,True,2,14
4483,True,2,15
844,False,3,31
4483,True,2,15
844,False,3,31
4187,True,3,10
4187,True,3,10
4476,True,3,8
1945,True,2,21
4099,True,2,19
4254,True,2,23
4254,True,2,23
4254,True,2,23
2200,True,2,23
2765,True,2,12
2765,True,2,12
844,False,3,31
2765,True,2,12
5062,True,2,47
5062,True,2,47
844,False,3,31
5062,True,2,47
5244,True,3,37
5244,True,3,37
844,False,3,31
2114,True,4,40
6155,True,3,20
6155,True,3,20
3272,True,4,17
3634,False,4,13
3634,False,4,13
4187,True,3,10
3634,False,4,13
4476,True,3,8
5230,True,1,34
5399,True,4,37
1945,True,2,21
4099,True,2,19
5399,True,4,37
4254,True,2,23
2200,True,2,23
4797,True,4,27
4797,True,4,27
464,True,3,42
2200,True,2,23
6924,True,4,20
2765,True,2,12
6924,True,4,20
5510,True,2,57
5510,True,2,57
5510,True,2,57
6485,True,4,50
2765,True,2,12
6485,True,4,50
6485,True,4,50
437,True,3,67
696,True,3,31
696,True,3,31
2765,True,2,12
696,True,3,31
532,True,2,22
532,True,2,22
5062,True,2,47
532,True,2,22
847,True,4,32
5080,True,4,4
5431,False,4,46
5431,False,4,46
5431,False,4,46
5062,True,2,47
5563,True,4,19
5563,True,4,19
5440,True,3,69
5440,True,3,69
5062,True,2,47
5440,True,3,69
6660,True,4,13
5244,True,3,37
5244,True,3,37
5244,True,3,37
2114,True,4,40
6155,True,3,20
3272,True,4,17
3634,False,4,13
3634,False,4,13
3634,False,4,13
5230,True,1,34
5399,True,4,37
5399,True,4,37
5399,True,4,37
4797,True,4,27
464,True,3,42
464,True,3,42
6924,True,4,20
6924,True,4,20
6924,True,4,20
5510,True,2,57
5510,True,2,57
5510,True,2,57
6485,True,4,50
437,True,3,67
696,True,3,31
532,True,2,22
532,True,2,22
532,True,2,22
847,True,4,32
847,True,4,32
847,True,4,32
5080,True,4,4
5080,True,4,4
5080,True,4,4
5431,False,4,46
5563,True,4,19
5563,True,4,19
5440,True,3,69
5440,True,3,69
5440,True,3,69
6660,True,4,13
