ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems
1975,True,1,65
1490,True,1,68
1726,True,1,71
1726,True,1,71
1726,True,1,71
178,True,1,71
178,True,1,71
2614,True,1,68
51,True,1,69
178,True,1,71
178,True,1,71
178,True,1,71
2614,True,1,68
51,True,1,69
51,True,1,69
2323,True,1,65
51,True,1,69
192,False,1,65
192,False,1,65
192,False,1,65
1726,True,1,71
1726,True,1,71
2624,True,1,72
2624,True,1,72
144,True,2,68
358,True,2,73
5645,True,2,67
4473,True,2,65
4473,True,2,65
4473,True,2,65
4483,True,2,70
69,True,2,67
127,True,2,67
991,True,2,71
2410,True,2,60
4523,True,2,69
4523,True,2,69
4523,True,2,69
844,False,3,65
4187,True,3,69
4099,True,2,67
4099,True,2,67
4099,True,2,67
844,False,3,65
4476,True,3,71
4476,True,3,71
4476,True,3,71
1945,True,2,60
2200,True,2,60
2200,True,2,60
2765,True,2,65
2765,True,2,65
2765,True,2,65
5062,True,2,65
5062,True,2,65
5062,True,2,65
5244,False,3,62
5244,False,3,62
5244,False,3,62
5244,False,3,62
5244,False,3,62
4254,True,2,65
4254,True,2,65
2114,True,4,67
5230,True,1,71
6155,True,3,68
3634,False,4,69
3634,False,4,69
3634,False,4,69
3272,True,4,70
5399,True,4,63
5399,True,4,63
5399,True,4,63
4797,True,4,71
6924,True,4,70
6924,True,4,70
6924,True,4,70
464,True,3,65
464,True,3,65
5510,False,2,60
6485,True,4,71
6660,True,4,69
696,False,3,59
532,True,2,73
532,True,2,73
532,True,2,73
847,False,4,68
847,False,4,68
847,False,4,68
5080,True,4,67
5080,True,4,67
5080,True,4,67
5431,True,4,68
5431,True,4,68
5431,True,4,68
5563,True,4,70
5440,True,3,73
5440,True,3,73
5440,True,3,73
437,False,3,70
437,False,3,70
696,False,3,59
6485,True,4,71
6660,True,4,69
5563,True,4,70
2114,True,4,67
5230,True,1,71
6155,True,3,68
5510,False,2,60
4797,True,4,71
4797,True,4,71
4797,True,4,71
3272,True,4,70
3634,False,4,69
464,True,3,65
2114,True,4,67
